🕘️更新时间,#genre#
2025-04-30 11:43:22,http://localhost:8000/hls/6181242615579054170

📺央视频道,#genre#
CCTV-1,http://localhost:8000/hls/6181242615579054170
CCTV-1,http://localhost:8000/hls/7243384464569601067
CCTV-1,http://localhost:8000/hls/6878244866888265360
CCTV-1,http://localhost:8000/hls/368562962699232356
CCTV-1,http://localhost:8000/hls/-8216404671674528945
CCTV-1,http://localhost:8000/hls/2924100005308483095
CCTV-1,http://localhost:8000/hls/-3645927513359989152
CCTV-3,http://localhost:8000/hls/-4384392179123094465
CCTV-5,http://localhost:8000/hls/5321088298126721029
CCTV-5,http://localhost:8000/hls/380419791033400756
CCTV-5,http://localhost:8000/hls/-8410099144415019842
CCTV-5,http://localhost:8000/hls/6531090609576935804
CCTV-5,http://localhost:8000/hls/-6409299565300851073
CCTV-5,http://localhost:8000/hls/-3090772012985581484
CCTV-5,http://localhost:8000/hls/-2452695525019966715
CCTV-5,http://localhost:8000/hls/1514938532891220117
CCTV-5,http://localhost:8000/hls/-8410099144415019842
CCTV-5,http://localhost:8000/hls/6687462686482306840
CCTV-5+,http://localhost:8000/hls/-3547087791818499945
CCTV-5+,http://localhost:8000/hls/6975939060481186519
CCTV-5+,http://localhost:8000/hls/-6951734618888334968
CCTV-5+,http://localhost:8000/hls/-288993139473722280
CCTV-5+,http://localhost:8000/hls/-8175658045944788535
CCTV-5+,http://localhost:8000/hls/2449996951594244709
CCTV-5+,http://localhost:8000/hls/-5819176957429624718
CCTV-5+,http://localhost:8000/hls/-7917653844734035395
CCTV-5+,http://localhost:8000/hls/-7223341616241593085
CCTV-5+,http://localhost:8000/hls/-9064285225318773139
CCTV-6,http://localhost:8000/hls/-6752590874420363411
CCTV-6,http://localhost:8000/hls/-8793612824219048108
CCTV-6,http://localhost:8000/hls/-4723017119045511373
CCTV-6,http://localhost:8000/hls/450063551898567473
CCTV-6,http://localhost:8000/hls/-4471573301276910032
CCTV-6,http://localhost:8000/hls/419110063990369360
CCTV-6,http://localhost:8000/hls/8509521145332147110
CCTV-6,http://localhost:8000/hls/6823023932814321012
CCTV-6,http://localhost:8000/hls/-8793612824219048108
CCTV-6,http://localhost:8000/hls/4296152164877333476
CCTV-7,http://localhost:8000/hls/5592020374889453402
CCTV-7,http://localhost:8000/hls/-3861872865460297724
CCTV-7,http://localhost:8000/hls/5018108298808354913
CCTV-7,http://localhost:8000/hls/-7429048939215864011
CCTV-7,http://localhost:8000/hls/-5650477900926457783
CCTV-7,http://localhost:8000/hls/1909167927330318518
CCTV-7,http://localhost:8000/hls/-465306965030940728
CCTV-7,http://localhost:8000/hls/-175973596422020898
CCTV-7,http://localhost:8000/hls/-5673232414737733095
CCTV-7,http://localhost:8000/hls/-6778367018540660803
CCTV-8,http://localhost:8000/hls/-7416668520644623082
CCTV-8,http://localhost:8000/hls/6561956380872426125
CCTV-8,http://localhost:8000/hls/-1530491286135189905
CCTV-9,http://localhost:8000/hls/-2999505553148868927
CCTV-9,http://localhost:8000/hls/1661666921239035315
CCTV-10,http://localhost:8000/hls/-3128248338518682856
CCTV-10,http://localhost:8000/hls/-4647887741469275476
CCTV-10,http://localhost:8000/hls/8258902019527223708
CCTV-10,http://localhost:8000/hls/1636646682718841616
CCTV-10,http://localhost:8000/hls/-1505449031642108101
CCTV-10,http://localhost:8000/hls/4096116232953115609
CCTV-10,http://localhost:8000/hls/-13314961055933307
CCTV-10,http://localhost:8000/hls/3476147448169467918
CCTV-10,http://localhost:8000/hls/-2451993340392508035
CCTV-10,http://localhost:8000/hls/-2931021831177423653
CCTV-11,http://localhost:8000/hls/6953965599198355551
CCTV-11,http://localhost:8000/hls/-4558854681519000456
CCTV-11,http://localhost:8000/hls/-7090502753665794445
CCTV-11,http://localhost:8000/hls/8314531378258350032
CCTV-11,http://localhost:8000/hls/-4395997463462516940
CCTV-11,http://localhost:8000/hls/-6601227968906892484
CCTV-11,http://localhost:8000/hls/-1241361481864045535
CCTV-11,http://localhost:8000/hls/-8628392036228706767
CCTV-12,http://localhost:8000/hls/3094545309701564931
CCTV-12,http://localhost:8000/hls/5318194412757531328
CCTV-12,http://localhost:8000/hls/259790123657944045
CCTV-12,http://localhost:8000/hls/-2820175634122374280
CCTV-12,http://localhost:8000/hls/-8106085768979630907
CCTV-12,http://localhost:8000/hls/-8926484570594853851
CCTV-12,http://localhost:8000/hls/-6077573353953598032
CCTV-12,http://localhost:8000/hls/3024104658419619180
CCTV-12,http://localhost:8000/hls/-1703046971599412331
CCTV-12,http://localhost:8000/hls/-7792441948278836774
CCTV-13,http://localhost:8000/hls/-8088916780641739164
CCTV-13,http://localhost:8000/hls/2585650194013690269
CCTV-13,http://localhost:8000/hls/4886890270448956045
CCTV-13,http://localhost:8000/hls/-9084669284812506205
CCTV-13,http://localhost:8000/hls/-2941196801975391393
CCTV-13,http://localhost:8000/hls/-36881978728137912
CCTV-13,http://localhost:8000/hls/-2342642509141458343
CCTV-14,http://localhost:8000/hls/-7377705873798136295
CCTV-14,http://localhost:8000/hls/7314570265537455465
CCTV-14,http://localhost:8000/hls/-8286910013892353160
CCTV-14,http://localhost:8000/hls/-1074378285979353234
CCTV-15,http://localhost:8000/hls/5073518627862091112
CCTV-15,http://localhost:8000/hls/-123047698842398592
CCTV-16,http://localhost:8000/hls/-1303510545572981173
CCTV-17,http://localhost:8000/hls/-2245939414751501930

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://localhost:8000/hls/-1444308920056542281
广东卫视,http://localhost:8000/hls/6892833895016688048
广东卫视,http://localhost:8000/hls/-4754276717775764596
广东卫视,http://localhost:8000/hls/-8407891769560172398
香港卫视,http://localhost:8000/hls/-5859728530282107506
浙江卫视,http://localhost:8000/hls/8312268149184004188
浙江卫视,http://localhost:8000/hls/-1544525984803864138
浙江卫视,http://localhost:8000/hls/88249174343609308
浙江卫视,http://localhost:8000/hls/4085184857258205846
浙江卫视,http://localhost:8000/hls/6824975843638168984
浙江卫视,http://localhost:8000/hls/-1900496771775301728
湖南卫视,http://localhost:8000/hls/5627204732595566431
湖南卫视,http://localhost:8000/hls/-2652571424685387525
湖南卫视,http://localhost:8000/hls/5627204732595566431
湖南卫视,http://localhost:8000/hls/6721348631018785362
湖南卫视,http://localhost:8000/hls/-6015270198776156249
北京卫视,http://localhost:8000/hls/-2010136427003392024
北京卫视,http://localhost:8000/hls/8542079840802164194
北京卫视,http://localhost:8000/hls/8453866660480502334
北京卫视,http://localhost:8000/hls/631873692359465931
北京卫视,http://localhost:8000/hls/4441542717629529761
湖北卫视,http://localhost:8000/hls/6005823801043588812
黑龙江卫视,http://localhost:8000/hls/6485901063883710468
