🕘️更新时间,#genre#
2025-04-30 11:43:22,http://localhost:8000/live/3679492346491736882

📺央视频道,#genre#
CCTV-1,http://localhost:8000/live/3679492346491736882
CCTV-1,http://localhost:8000/live/860508832791088849
CCTV-1,http://localhost:8000/live/3306326808849115796
CCTV-1,http://localhost:8000/live/6769963557917641538
CCTV-1,http://localhost:8000/live/7162772791009330207
CCTV-1,http://localhost:8000/live/2601229184072579773
CCTV-1,http://localhost:8000/live/6952974657214950786
CCTV-1,http://localhost:8000/live/-1395844872849779027
CCTV-1,http://localhost:8000/live/-4032207146550818748
CCTV-1,http://localhost:8000/live/6881671537615513963
CCTV-2,http://localhost:8000/live/2499908756561173954
CCTV-2,http://localhost:8000/live/-1581459503376836200
CCTV-2,http://localhost:8000/live/-6293506490616257733
CCTV-2,http://localhost:8000/live/-7832450086669448025
CCTV-2,http://localhost:8000/live/-4550348376142640606
CCTV-2,http://localhost:8000/live/8726506241865160149
CCTV-2,http://localhost:8000/live/8773301894770329135
CCTV-2,http://localhost:8000/live/-6733452871915939241
CCTV-2,http://localhost:8000/live/-3446530776281004339
CCTV-2,http://localhost:8000/live/3590744281904705722
CCTV-3,http://localhost:8000/live/-3585557468012178533
CCTV-3,http://localhost:8000/live/4155657689951710248
CCTV-3,http://localhost:8000/live/-840098416598979621
CCTV-3,http://localhost:8000/live/7228450256152498665
CCTV-3,http://localhost:8000/live/-2760882946910233035
CCTV-3,http://localhost:8000/live/7615676060342818801
CCTV-3,http://localhost:8000/live/7668238540597238358
CCTV-3,http://localhost:8000/live/9034664522919983057
CCTV-3,http://localhost:8000/live/-7883279078952312170
CCTV-3,http://localhost:8000/live/-7111692610455519739
CCTV-4,http://localhost:8000/live/-4544676240159331784
CCTV-4,http://localhost:8000/live/-5999924798139513866
CCTV-4,http://localhost:8000/live/-2503635380905161541
CCTV-4,http://localhost:8000/live/270902882173135703
CCTV-4,http://localhost:8000/live/-4419078935598218442
CCTV-4,http://localhost:8000/live/-8473653503263550621
CCTV-4,http://localhost:8000/live/-7433841072607977769
CCTV-4,http://localhost:8000/live/-8937455184599063446
CCTV-4,http://localhost:8000/live/4676192726210353993
CCTV-4,http://localhost:8000/live/9182262991412273798
CCTV-5,http://localhost:8000/live/-8304312588810942933
CCTV-5,http://localhost:8000/live/497901049533349754
CCTV-5,http://localhost:8000/live/586915050389531360
CCTV-5,http://localhost:8000/live/-3334934941225444
CCTV-5,http://localhost:8000/live/8493912082974857911
CCTV-5,http://localhost:8000/live/7585966404906886799
CCTV-5,http://localhost:8000/live/-2692863006009979709
CCTV-5,http://localhost:8000/live/9184699087647862511
CCTV-5,http://localhost:8000/live/4202638904510138502
CCTV-5,http://localhost:8000/live/4505857290068827782
CCTV-5+,http://localhost:8000/live/-7063905115883009020
CCTV-5+,http://localhost:8000/live/-1451003315980512909
CCTV-5+,http://localhost:8000/live/8463364665779442145
CCTV-5+,http://localhost:8000/live/2177104579654280461
CCTV-5+,http://localhost:8000/live/-4920900978195161329
CCTV-5+,http://localhost:8000/live/-5851376605656568698
CCTV-5+,http://localhost:8000/live/-6072072153385315171
CCTV-5+,http://localhost:8000/live/-644603343227892131
CCTV-5+,http://localhost:8000/live/-997647848747113000
CCTV-5+,http://localhost:8000/live/6222877654779059110
CCTV-6,http://localhost:8000/live/-4295321490354939222
CCTV-6,http://localhost:8000/live/-8047716870704765954
CCTV-6,http://localhost:8000/live/4454605644679786011
CCTV-6,http://localhost:8000/live/-1885146566252282858
CCTV-6,http://localhost:8000/live/3650028798384272650
CCTV-6,http://localhost:8000/live/-2806813914048638992
CCTV-6,http://localhost:8000/live/8461135931589622350
CCTV-6,http://localhost:8000/live/298082258790881922
CCTV-6,http://localhost:8000/live/4992415500065802208
CCTV-6,http://localhost:8000/live/-3529767789993238714
CCTV-7,http://localhost:8000/live/1065764770666431059
CCTV-7,http://localhost:8000/live/-1117248942556969547
CCTV-7,http://localhost:8000/live/3992355862418378952
CCTV-7,http://localhost:8000/live/-1773480396070737354
CCTV-7,http://localhost:8000/live/-507271704992028319
CCTV-7,http://localhost:8000/live/3809597672511470535
CCTV-7,http://localhost:8000/live/-3877110496414167837
CCTV-7,http://localhost:8000/live/2231292354770551438
CCTV-7,http://localhost:8000/live/-8996873845122368491
CCTV-7,http://localhost:8000/live/-2881083834008573139
CCTV-8,http://localhost:8000/live/-1255855064475772389
CCTV-8,http://localhost:8000/live/-180298019535361794
CCTV-8,http://localhost:8000/live/-9162400895474375378
CCTV-8,http://localhost:8000/live/-4107762547934184473
CCTV-8,http://localhost:8000/live/2625685301042471776
CCTV-8,http://localhost:8000/live/6928801189094880775
CCTV-8,http://localhost:8000/live/2094374889858238212
CCTV-8,http://localhost:8000/live/1615560462504952150
CCTV-8,http://localhost:8000/live/8613238445521459240
CCTV-8,http://localhost:8000/live/6992581912872876223
CCTV-9,http://localhost:8000/live/5953237414029114665
CCTV-9,http://localhost:8000/live/-3978318209070586133
CCTV-9,http://localhost:8000/live/3956420210770123653
CCTV-9,http://localhost:8000/live/-6734309933989863236
CCTV-9,http://localhost:8000/live/7605507442193783270
CCTV-9,http://localhost:8000/live/2387932884809947040
CCTV-9,http://localhost:8000/live/-9208277987151749039
CCTV-9,http://localhost:8000/live/5813900439550398047
CCTV-9,http://localhost:8000/live/2876329900034443634
CCTV-9,http://localhost:8000/live/-8847121735401206597
CCTV-10,http://localhost:8000/live/-8405224265434193942
CCTV-10,http://localhost:8000/live/-2313497051602369654
CCTV-10,http://localhost:8000/live/-4899120417270234185
CCTV-10,http://localhost:8000/live/-6287023951794949441
CCTV-10,http://localhost:8000/live/2606962013114828215
CCTV-10,http://localhost:8000/live/-2161014098727614044
CCTV-10,http://localhost:8000/live/-8554410995927480491
CCTV-10,http://localhost:8000/live/-2631545603070146038
CCTV-10,http://localhost:8000/live/1530850905272814730
CCTV-10,http://localhost:8000/live/2966782917709786538
CCTV-11,http://localhost:8000/live/4245438108193718424
CCTV-11,http://localhost:8000/live/-2104374888934935248
CCTV-11,http://localhost:8000/live/-1324610964897766959
CCTV-11,http://localhost:8000/live/8423876550555790686
CCTV-11,http://localhost:8000/live/-5191079024140661284
CCTV-11,http://localhost:8000/live/-8835015565841831605
CCTV-11,http://localhost:8000/live/-4944078074884309408
CCTV-11,http://localhost:8000/live/-2888210727911555874
CCTV-11,http://localhost:8000/live/-2461773319791269092
CCTV-11,http://localhost:8000/live/7856257723274011948
CCTV-12,http://localhost:8000/live/1157040815109872741
CCTV-12,http://localhost:8000/live/4177426685350717825
CCTV-12,http://localhost:8000/live/-7116991576653972128
CCTV-12,http://localhost:8000/live/5401267291972955708
CCTV-12,http://localhost:8000/live/-8867698957763664524
CCTV-12,http://localhost:8000/live/-5932790296126740959
CCTV-12,http://localhost:8000/live/7734512906413072842
CCTV-12,http://localhost:8000/live/6943851985138772594
CCTV-12,http://localhost:8000/live/-1049837792231270891
CCTV-12,http://localhost:8000/live/7220064571232943656
CCTV-13,http://localhost:8000/live/4038035522048943329
CCTV-13,http://localhost:8000/live/5412233232955776023
CCTV-13,http://localhost:8000/live/-395706370900300329
CCTV-13,http://localhost:8000/live/-2652556368274361039
CCTV-13,http://localhost:8000/live/-8081692992944863696
CCTV-13,http://localhost:8000/live/3274661201186184868
CCTV-13,http://localhost:8000/live/-1185559942058874827
CCTV-13,http://localhost:8000/live/3721702539334022947
CCTV-13,http://localhost:8000/live/-8028640261730540441
CCTV-13,http://localhost:8000/live/6930095900628012931
CCTV-14,http://localhost:8000/live/9205699508589449113
CCTV-14,http://localhost:8000/live/-2984625639284076252
CCTV-14,http://localhost:8000/live/-6123941299227566426
CCTV-14,http://localhost:8000/live/5026824564833749053
CCTV-14,http://localhost:8000/live/-6959605282303384905
CCTV-14,http://localhost:8000/live/-3579730868686381316
CCTV-14,http://localhost:8000/live/-577578244264608769
CCTV-14,http://localhost:8000/live/4620321348935867520
CCTV-14,http://localhost:8000/live/6244084219564547538
CCTV-14,http://localhost:8000/live/-4300892135827369882
CCTV-15,http://localhost:8000/live/-2384926672833186908
CCTV-15,http://localhost:8000/live/-6815818925342281087
CCTV-15,http://localhost:8000/live/3608173068780870678
CCTV-15,http://localhost:8000/live/1396204664890306173
CCTV-15,http://localhost:8000/live/-6129201886732537159
CCTV-15,http://localhost:8000/live/5164278674635607162
CCTV-15,http://localhost:8000/live/209735578171200167
CCTV-15,http://localhost:8000/live/-3233004366420646813
CCTV-15,http://localhost:8000/live/774973873876361977
CCTV-15,http://localhost:8000/live/1733674066815312881
CCTV-16,http://localhost:8000/live/8574690345194322041
CCTV-16,http://localhost:8000/live/-2703987432892912846
CCTV-16,http://localhost:8000/live/2658774371147324550
CCTV-16,http://localhost:8000/live/-2052032131142524219
CCTV-16,http://localhost:8000/live/-5174239802024055050
CCTV-16,http://localhost:8000/live/8639763018898176854
CCTV-16,http://localhost:8000/live/7843673135283762370
CCTV-16,http://localhost:8000/live/-799689991897536962
CCTV-16,http://localhost:8000/live/6105060463860833280
CCTV-16,http://localhost:8000/live/-8179249777758662982
CCTV-17,http://localhost:8000/live/7175167409258161343
CCTV-17,http://localhost:8000/live/1946774336072734623
CCTV-17,http://localhost:8000/live/1884789718017913734
CCTV-17,http://localhost:8000/live/-531854217443709107
CCTV-17,http://localhost:8000/live/-2691789216658819407
CCTV-17,http://localhost:8000/live/8428385491076945339
CCTV-17,http://localhost:8000/live/-2847916720189940565
CCTV-17,http://localhost:8000/live/4094361372625947536
CCTV-17,http://localhost:8000/live/3299259639810738944
CCTV-17,http://localhost:8000/live/-5306339954795309004

💰央视付费频道,#genre#
央视台球,http://localhost:8000/live/-581716752847724474
风云足球,http://localhost:8000/live/-5402987562703440727
世界地理,http://localhost:8000/live/-3278716476582103448

📡卫视频道,#genre#
广东卫视,http://localhost:8000/live/5224067625200849296
广东卫视,http://localhost:8000/live/6432674061353564201
广东卫视,http://localhost:8000/live/-6361037976130482301
广东卫视,http://localhost:8000/live/-5376036633401208861
广东卫视,http://localhost:8000/live/2081468421650795712
广东卫视,http://localhost:8000/live/6014888150926298541
广东卫视,http://localhost:8000/live/-1743339290771771624
广东卫视,http://localhost:8000/live/6768074579383816375
广东卫视,http://localhost:8000/live/-1509282268521235330
广东卫视,http://localhost:8000/live/-3032424337050463595
浙江卫视,http://localhost:8000/live/4904853429237911866
浙江卫视,http://localhost:8000/live/-6224133267305499480
浙江卫视,http://localhost:8000/live/-7987312473562330776
浙江卫视,http://localhost:8000/live/7120627075417800030
浙江卫视,http://localhost:8000/live/4298751261221178038
浙江卫视,http://localhost:8000/live/4615199052379738818
浙江卫视,http://localhost:8000/live/2449415388020335895
浙江卫视,http://localhost:8000/live/1675629318009231282
浙江卫视,http://localhost:8000/live/-4181303711878600440
浙江卫视,http://localhost:8000/live/-516911164612154916
湖南卫视,http://localhost:8000/live/-1565625181243839169
湖南卫视,http://localhost:8000/live/6905017797530555571
湖南卫视,http://localhost:8000/live/1232273129423407481
湖南卫视,http://localhost:8000/live/3979683536545966838
湖南卫视,http://localhost:8000/live/-787322403474317309
湖南卫视,http://localhost:8000/live/7211855517688877319
湖南卫视,http://localhost:8000/live/1263370653462102395
湖南卫视,http://localhost:8000/live/2016282959123150101
湖南卫视,http://localhost:8000/live/-812828066065948569
湖南卫视,http://localhost:8000/live/6044779809464806783
北京卫视,http://localhost:8000/live/8366415612355869011
北京卫视,http://localhost:8000/live/-6213427768635939526
北京卫视,http://localhost:8000/live/2689170078051602440
北京卫视,http://localhost:8000/live/1142815311582222969
北京卫视,http://localhost:8000/live/8848667818107281531
北京卫视,http://localhost:8000/live/-1165227923906060088
北京卫视,http://localhost:8000/live/-2725609007511959141
北京卫视,http://localhost:8000/live/9050847414871524358
北京卫视,http://localhost:8000/live/-6715584256450983445
北京卫视,http://localhost:8000/live/-5459930425212987183
湖北卫视,http://localhost:8000/live/-5260222428788699079
湖北卫视,http://localhost:8000/live/-1927374119703720699
湖北卫视,http://localhost:8000/live/-8433497176691094615
湖北卫视,http://localhost:8000/live/5908383860955803994
湖北卫视,http://localhost:8000/live/9199120564783623720
湖北卫视,http://localhost:8000/live/-1362945697684972783
湖北卫视,http://localhost:8000/live/-4474098831313625083
湖北卫视,http://localhost:8000/live/-1520493138157741494
湖北卫视,http://localhost:8000/live/5852254580154485397
湖北卫视,http://localhost:8000/live/7123444762012601144
黑龙江卫视,http://localhost:8000/live/-2222247843742817518
黑龙江卫视,http://localhost:8000/live/-622089911585273101
黑龙江卫视,http://localhost:8000/live/3785585417538604522
黑龙江卫视,http://localhost:8000/live/-9111391839378341150
黑龙江卫视,http://localhost:8000/live/-1661209400589599422
黑龙江卫视,http://localhost:8000/live/6370371671906252862
黑龙江卫视,http://localhost:8000/live/-1362805190088115832
黑龙江卫视,http://localhost:8000/live/1316839352359311289
黑龙江卫视,http://localhost:8000/live/-8228560178193314905
黑龙江卫视,http://localhost:8000/live/-1873076221163192033
安徽卫视,http://localhost:8000/live/360414157350955870
安徽卫视,http://localhost:8000/live/-8432318868780149770
安徽卫视,http://localhost:8000/live/1154318311267932440
安徽卫视,http://localhost:8000/live/5930435562235185735
安徽卫视,http://localhost:8000/live/-8056210957627781130
安徽卫视,http://localhost:8000/live/-5023848317090763517
安徽卫视,http://localhost:8000/live/-1226787646999152298
