Name: CCTV-1, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-1, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8, Date: 04-27-2024, Resolution: None, Response Time: inf ms
Name: CCTV-2, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-2, URL: http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8, Date: 12-26-2023, Resolution: None, Response Time: inf ms
Name: CCTV-2, URL: http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226220/1.m3u8, Date: 11-23-2023, Resolution: None, Response Time: inf ms
Name: CCTV-2, URL: http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com, Date: 08-28-2023, Resolution: None, Response Time: inf ms
Name: CCTV-2, URL: http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT, Date: 04-13-2023, Resolution: None, Response Time: inf ms
Name: CCTV-3, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-3, URL: http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com, Date: 01-05-2024, Resolution: None, Response Time: inf ms
Name: CCTV-3, URL: http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8, Date: 12-26-2023, Resolution: None, Response Time: inf ms
Name: CCTV-3, URL: http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226490/1.m3u8, Date: 11-25-2023, Resolution: None, Response Time: inf ms
Name: CCTV-3, URL: http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8, Date: 08-19-2023, Resolution: None, Response Time: inf ms
Name: CCTV-3, URL: http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT, Date: 04-13-2023, Resolution: None, Response Time: inf ms
Name: CCTV-4, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-4, URL: http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8, Date: 12-26-2023, Resolution: None, Response Time: inf ms
Name: CCTV-4, URL: http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226539/1.m3u8, Date: 12-15-2023, Resolution: None, Response Time: inf ms
Name: CCTV-4, URL: http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com, Date: 08-28-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8, Date: 06-15-2024, Resolution: 1920x1080, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8, Date: 06-11-2024, Resolution: 1920x1080, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8, Date: 04-29-2024, Resolution: 1920x1080, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226587/1.m3u8, Date: 01-17-2024, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8, Date: 12-26-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8, Date: 11-24-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com, Date: 11-23-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw3847208563_882248521/ott.mobaibox.com/PLTV/3/224/3221228179/index.m3u8, Date: 08-19-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001187/index.m3u8?, Date: 08-19-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5+, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-5+, URL: http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com, Date: 12-26-2023, Resolution: None, Response Time: inf ms
Name: CCTV-5+, URL: http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226253/1.m3u8, Date: 11-21-2023, Resolution: None, Response Time: inf ms
Name: CCTV-6, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-7, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8, Date: 06-11-2024, Resolution: None, Response Time: inf ms
Name: CCTV-7, URL: http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8, Date: 12-26-2023, Resolution: None, Response Time: inf ms
Name: CCTV-7, URL: http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226432/1.m3u8, Date: 11-21-2023, Resolution: None, Response Time: inf ms
Name: CCTV-7, URL: http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com, Date: 08-28-2023, Resolution: None, Response Time: inf ms
Name: CCTV-7, URL: http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000055/main.m3u8?IASHttpSessionId=OTT, Date: 04-13-2023, Resolution: None, Response Time: inf ms
